"ID","Title","StatisticalMeasurementUnitID","CustomsTariffEnglishCalculationReference","PurchaseTaxOptionalTaxAddition","EnglishGoodsDescription","PurchaseTaxCalculationReference","CustomsTariffCalculationReference","StatisticalMeasurementUnitName","CustomsItemID","GoodsDescription","EnglishFullTitle","PurchaseTaxEnglishCalculationReference","FullTitle","StatisticalMeasurementUnitEnglishName","FullClassification"
"112","לק לציפורניים","6","","","- :-Manicure or pedicure preparations","פטור","פטור","קילוגרם","1768","תכשירי מניקור או פדיקור"," =>  => ","Tax Free","אופנה וטיפוח => תכשירי טיפוח וקוסמטיקה => לק לציפורניים","Kilogram","3304300000/0"
"348","שואבי אבק לרכב","1","Tax Free","","--Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 l","פטור","פטור","כל אחד","1867","שהספק אינו עולה על 1500 וואט עם שק לאבק או כלי-קיבול אחר שנפחו
אינו עולה על 20 ליטר"," =>  => Car Vacuum Cleaners","Tax Free","כלי רכב ואביזרים => חלפים וציוד היקפי => שואבי אבק לרכב","Each","8508110000/1"
"137","ערכות עזרה ראשונה","6","Tax Free","","First-aid boxes and kits
","פטור","פטור","קילוגרם","1886","תיבות ומערכות עזרה ראשונה"," =>  => ","Tax Free","בריאות ורפואה => עזרה ראשונה => ערכות עזרה ראשונה","Kilogram","3006500000/9"
"281","קומפקט דיסק","1","Tax Free","","---Capable of operating without an external power source; of (the size not exceeding (180 mm X 150 mm X 45 mm","פטור","פטור","כל אחד","1901","המסוגלים לפעול בלא מקור כוח חיצוני (שמידותיהם לא יעלו על
180 מ""מ X 150 מ""מ X 45 מ""מ"," =>  => compact disk","Tax Free","חשמל ואלקטרוניקה => צפייה ושמע => קומפקט דיסק","Each","8519893000/1"
"144","מאוורר","1","Tax Free","","--TABLE, FLOOR, WALL, WINDOW, CEILING OR ROOF FANS, WITH A SELF-CONTAINED ELECTRIC MOTOR OF AN OUTPUT NOT EXCEEDING 125 W","פטור","פטור","כל אחד","1990","מאווררי שולחן, ריצפה, קיר, חלון, תקרה או גג, עם מנוע חשמלי
בגופם, שתפוקתו אינה עולה על 125 וואט"," =>  => Fan","Tax Free","חשמל ואלקטרוניקה => חימום וקירור הבית => מאוורר","Each","8414510000/8"
"389","תאורת חירום","1","Tax Free","","-LAMPS","פטור","פטור","כל אחד","2120","מנורות"," =>  => emergency lighting","Tax Free","לבית, לגן ולמשרד => ציוד חירום => תאורת חירום","Each","8513100000/3"
"274","מערכת כריזה","1","","",",---PAGING SYSTEMS OF THE KIND USED SPECIALLY FOR FIRE ENGINES, AMBULANCES POLICE CARS, OR CIVIL-DEFENSE VEHICLES","פטור","פטור","כל אחד","2147","מערכות הכרזה מהסוג המיוחד לרכב כיבוי, לאמבולנסים, לרכב
משטרה או לרכב אב""כ"," =>  => PA system","Tax Free","חשמל ואלקטרוניקה => צפייה ושמע => מערכת כריזה","Each","8518502000/6"
"345","צמיגים לאופניים","1","Tax Free","","-OF A KIND USED ON BICYCLES","פטור","פטור","כל אחד","2222","מהסוג המשמש לאופניים"," =>  => bicycle tires","Tax Free","כלי רכב ואביזרים => חלפים וציוד היקפי => צמיגים לאופניים","Each","4011500000/8"
"313","אבובים לאופנוע","1","Tax Free","","-OTHER","פטור","פטור","כל אחד","2711","אחרים"," =>  => ","Tax Free","כלי רכב ואביזרים => חלפים וציוד היקפי => אבובים לאופנוע","Each","4013900000/0"
"158","תושבות ומעמדים לסלולרי","6","","","--OTHER","פטור","פטור","קילוגרם","2782","אחרים"," =>  => ","Tax Free","חשמל ואלקטרוניקה => טלפונים וטאבלטים => תושבות ומעמדים לסלולרי","Kilogram","8302490000/9"
