"מזהה","שם","מצב","שם באנגלית"
"1","ערבות זמנית","1","Temporary Guarantee"
"2","היטל","1","Levy"
"3","ערבות זמנית בוטלה","1","Temporary Guarantee Canceled"
"4","ערבות זמנית – ממתין להחלטה","1","TTemporary Guarantee Waiting for a Decision"
