"מזהה","שם","מצב","קטגוריית ישות","שם באנגלית","שם קצר באנגלית","תאריך סוף","תאריך התחלה"
"101322","הערת שוליים","1","10010","Footnote","Footnote","",""
"101323","רישיונות ואישורים ביצוא","1","3","ExportDealFileLicenseConfirmation","ExportDealFileLicenseConfirmation","",""
"101324","משגור יבוא בהצהרת שטעון","1","3","TransshipmentImportConsignment","TransshipmentImportConsignment","",""
"101325","אתרי ביניים עבור הצהרת שטעון","1","3","TransshipmentImportIntermediateSite","TransshipmentImportIntermediateSite","",""
"101326","בקרת חשבונות באכיפה","1","10013","BkcshInforcment","BkcshInforcment","",""
"101327","סיווג קודי הנחה ייצוא","1","701","DiscountCodesExportClassificationsDetails","Classification Details","",""
"101328","קרנה TIR","1","3","CarnetTIR","CarnetTIR","",""
"101329","התאמות בנקים","1","7","BanksAmountsMatching","BanksAmountsMatching","",""
"101331","חיפוש המכלות","1","10","חיפוש המכלות","","",""
"101333","בקשה לאישור/רישיון","1","55","Request For License","ConfirmationRequest","",""
"101334","שורת בקשה לאישור/רישיון","1","55","Request For License Item","ConfirmationRequestItem","",""
