"קוד מטבע","שם","מצב","שם באנגלית","האם ניתן לעריכה","תאריך סוף","תאריך התחלה"
"PYG","PYG","0","PYG","true","",""
"QAR","QAR","0","QAR","true","",""
"RSD","RSD","0","RSD","true","",""
"RWF","RWF","0","RWF","true","",""
"SAR","ריאל סעודי","1","SAR","true","",""
"SBD","SBD","0","SBD","true","",""
"SCR","SCR","0","SCR","true","",""
"SDG","SDG","0","SDG","true","",""
"SHP","SHP","0","SHP","true","",""
"SLL","SLL","0","SLL","true","",""
"SOS","SOS","0","SOS","true","",""
"SRD","SRD","0","SRD","true","",""
"STD","STD","0","STD","true","",""
"SVC","SVC","0","SVC","true","",""
"SYP","SYP","0","SYP","true","",""
"SZL","SZL","0","SZL","true","",""
"TJS","TJS","0","TJS","true","",""
"TMT","TMT","0","TMT","true","",""
"TND","TND","0","TND","true","",""
"TOP","TOP","0","TOP","true","",""
"TTD","TTD","0","TTD","true","",""
"TZS","TZS","0","TZS","true","",""
"UGX","שילינג אוגנדי","1","UGX","true","",""
"UYU","פסו של אורוגוואי","1","UYU","true","",""
"UZS","סום אוזבקי","1","UZS","true","",""
"VEF","VEF","0","VEF","true","",""
"VND","דונג וייאטנמי","1","VND","true","",""
"VUV","VUV","0","VUV","true","",""
"WST","WST","0","WST","true","",""
"XAF","XAF","0","XAF","true","",""
"XAG","XAG","0","XAG","true","",""
"XAU","XAU","0","XAU","true","",""
"XCD","XCD","0","XCD","true","",""
"XDR","XDR","0","XDR","true","",""
"XOF","XOF","0","XOF","true","",""
"XPF","XPF","0","XPF","true","",""
"YER","YER","0","YER","true","",""
"ZMK","ZMK","0","ZMK","true","",""
"ZMW","ZMW","0","ZMW","true","",""
"ZWL","ZWL","0","ZWL","true","",""
